CustomerID,LoanID,ApplicantType,Age,EmploymentType,AnnualIncome,MonthlyIncome,LoanType,LoanAmount,LoanTenureMonths,InterestRate,CollateralValue,CreditScore,PastDefaults,NumOpenAccounts,BusinessRevenue,ProfitMargin,BusinessYears,ProbDefault
CUST100001,LN200001,Personal,26,Self-employed,709537,59128,Medical,161834,60,11.35,1096384,761,0,0,,,,0
CUST100002,LN200002,Personal,23,Salaried,507897,42325,Debt Consolidation,600693,24,11.33,687474,688,0,0,,,,0.126
CUST100003,LN200003,Personal,57,Salaried,702606,58550,Personal,530371,36,11.3,283442,662,0,1,,,,0.092
CUST100004,LN200004,Personal,42,Self-employed,964999,80417,Medical,733422,48,11.39,1319091,788,0,1,,,,0.012
CUST100006,LN200006,Business,45,Salaried,1599151,133263,Working Capital,374467,48,17.84,7238008,673,0,2,4092479,21.73,12,0
CUST100007,LN200007,Personal,48,Salaried,1027956,85663,Home,355466,24,8.65,179691,645,0,3,,,,0.05
CUST100008,LN200008,Business,31,Salaried,7404586,617049,Equipment Finance,5350296,48,8,6818294,656,0,0,1345633,13.86,32,0.08
CUST100009,LN200009,Personal,22,Salaried,803532,66961,Car,629605,36,11.57,538595,711,0,3,,,,0.033
CUST100010,LN200010,Business,45,Salaried,3803215,316935,Working Capital,2627946,24,11.43,8946916,598,0,1,925565,6.41,31,0.097
CUST100011,LN200011,Business,32,Self-employed,4957601,413133,Equipment Finance,2762725,84,16.74,4488810,755,0,2,8134628,5.12,22,0.004
CUST100012,LN200012,Personal,63,Self-employed,532015,44335,Debt Consolidation,603648,24,12.84,65231,621,0,2,,,,0.124
CUST100014,LN200014,Personal,48,Business-owner,1013238,84437,Wedding,573218,48,9.96,115277,620,0,3,,,,0.062
CUST100015,LN200015,Personal,28,Unemployed,416266,34689,Medical,291453,36,12.22,110228,763,0,0,,,,0.018
CUST100016,LN200016,Business,51,Salaried,5994208,499517,Business Expansion,955338,48,11.88,1232137,567,0,5,7634907,9.42,7,0.053
CUST100017,LN200017,Business,52,Salaried,7931300,660942,Working Capital,6322040,48,13.8,0,673,0,5,10260532,7.41,11,0.071
CUST100018,LN200018,Business,26,Business-owner,2001639,166803,Equipment Finance,2888377,48,12.18,6538175,638,1,4,10163280,11.35,28,0.146
CUST100019,LN200019,Business,28,Self-employed,8054043,671170,Invoice Discounting,5715460,60,13.37,194050,564,0,2,5615186,23.2,9,0.072
CUST100020,LN200020,Personal,55,Self-employed,196503,16375,Wedding,90915,72,15.43,664246,596,0,4,,,,0
